ni,nc,method,par,true_value,value,se
500,25,G,z,-0.5,0.25546946480708566,0.20611707802163437
1e3,25,G,z,-0.5,-2.0344783713749277,0.101763955084607
100,50,G,z,-0.5,2.916366065550473,0.1669283417868428
500,50,G,z,-0.5,2.7821142338580302,0.1453943314263597
1e3,50,G,z,-0.5,1.4805032794057429,0.10619660932570696
100,10,J,z,-0.5,3.988242785278028,0.1510152390692383
500,10,J,z,-0.5,1.0796381548714498,0.2064369679428637
1e3,10,J,z,-0.5,-4.1107480296423535,0.21584242646349594
100,25,J,z,-0.5,-2.1214394473064697,0.20279441121965647
500,25,J,z,-0.5,-3.9637275372848704,0.18417608347954229
1e3,25,J,z,-0.5,-1.8389792009770587,0.001770210568793118
100,50,J,z,-0.5,-2.2546619371493772,0.2177670596865937
500,50,J,z,-0.5,-0.3808783220164754,0.12216100550722331
1e3,50,J,z,-0.5,-3.076475499284253,0.1267889552982524
100,10,N,z,-0.5,-0.05302713364197209,0.13281525566708297
500,10,N,z,-0.5,-2.3514449623023106,0.21543635008856654
1e3,10,N,z,-0.5,4.498643249912219,0.10103921196423471
100,25,N,z,-0.5,1.5271548656754446,0.026110805745702237
500,25,N,z,-0.5,2.074361478949265,0.14151785045396537
1e3,25,N,z,-0.5,0.5866402870063541,0.036787154676858336
100,50,N,z,-0.5,4.257912454740354,0.013445711927488446
500,50,N,z,-0.5,-2.298134230539244,0.14641706371912733
1e3,50,N,z,-0.5,-1.805728477347966,0.17646850587334484
100,10,G,o,-0.5,3.5511059337834325,0.21447233785875142
500,10,G,o,-0.5,-2.3404472156764715,0.013998030917719007
1e3,10,G,o,-0.5,-1.086561320353834,0.13135760353179649
100,25,G,o,-0.5,-1.611028602449095,0.06724163773469627
500,25,G,o,-0.5,-1.4050765091279387,0.11880024248966947
1e3,25,G,o,-0.5,-1.2894516370164009,0.21829777158563957
100,50,G,o,-0.5,0.8977756808909778,0.07882372429594398
500,50,G,o,-0.5,-1.001566346095678,0.06763188156764954
1e3,50,G,o,-0.5,-1.9310638098117086,0.18667063914472237
100,10,J,o,-0.5,3.2986874426992485,0.07729795225895941
500,10,J,o,-0.5,-1.1069222195459578,0.18937510275281966
1e3,10,J,o,-0.5,-1.0078625600000204,0.028498597035650164
100,25,J,o,-0.5,-0.7833822100968647,0.24752110429108143
500,25,J,o,-0.5,1.5157247137568919,0.1802193516632542
1e3,25,J,o,-0.5,-0.7080715560466919,0.00564183498499915
100,50,J,o,-0.5,-0.6064455113947474,0.053214242681860924
500,50,J,o,-0.5,-2.4280269879799743,0.1684301138157025
1e3,50,J,o,-0.5,-1.4171748337703205,0.051678343617822975
100,10,N,o,-0.5,-0.3298405784383398,0.18796063476474956
500,10,N,o,-0.5,-2.165645138550306,0.02629818458808586
1e3,10,N,o,-0.5,1.0032982479412942,2.187053905799985e-4
100,25,N,o,-0.5,-4.794667006979834,0.19801745685981587
500,25,N,o,-0.5,0.3670765687619396,0.08887763100210577
1e3,25,N,o,-0.5,-4.845736356705206,0.019742850330658257
100,50,N,o,-0.5,-1.3512890410457195,0.13406040356494486
500,50,N,o,-0.5,-1.994201211190581,0.10693158401409164
1e3,50,N,o,-0.5,-2.3444025655835548,0.1780943339690566
100,10,G,x,0,-0.1137935556947851,0
500,10,G,x,0,-3.8287188513600237,0
1e3,10,G,x,0,2.353166624037125,0
100,25,G,x,0,-3.3299448724240066,0
500,25,G,x,0,-0.9270608029447712,0
1e3,25,G,x,0,-2.2318402100856907,0
100,50,G,x,0,-1.5016380023868958,0
500,50,G,x,0,4.174333091256694,0
1e3,50,G,x,0,0.034791239386503324,0
100,10,J,x,0,-2.572601060868651,0
500,10,J,x,0,-3.2812110688371567,0
1e3,10,J,x,0,0.9003742025453111,0
100,25,J,x,0,-0.037119665429275965,0
500,25,J,x,0,-0.6361367490876888,0
1e3,25,J,x,0,-1.8587242949074048,0
100,50,J,x,0,-2.9749206202829694,0
500,50,J,x,0,-2.1503845932313617,0
1e3,50,J,x,0,2.0000576074278285,0
100,10,N,x,0,-1.2425333895936468,0
500,10,N,x,0,-2.768853694768983,0
1e3,10,N,x,0,3.738581244847161,0
100,25,N,x,0,0.8502007547448958,0
500,25,N,x,0,-0.4772942018260655,0
1e3,25,N,x,0,2.11696609741804,0
100,50,N,x,0,1.7728453027498718,0
500,50,N,x,0,-1.2384860964622941,0
1e3,50,N,x,0,4.412204929080935,0
100,10,G,f,0,-0.5100540602820305,0
500,10,G,f,0,-2.848989300425617,0
1e3,10,G,f,0,-0.28879920390843883,0
100,25,G,f,0,0.41507667846468954,0
500,25,G,f,0,4.615956798118723,0
1e3,25,G,f,0,0.21160473578742292,0
100,50,G,f,0,0.9139976108468271,0
500,50,G,f,0,-0.15430587071306195,0
1e3,50,G,f,0,-0.668001684733089,0
100,10,J,f,0,-0.06945205662255238,0
500,10,J,f,0,1.5752792112603236,0
1e3,10,J,f,0,4.15049001730457,0
100,25,J,f,0,2.054784877527536,0
500,25,J,f,0,2.4158167967734077,0
1e3,25,J,f,0,-2.462646843116088,0
100,50,J,f,0,1.9677911401067583,0
500,50,J,f,0,0.43984960732130257,0
1e3,50,J,f,0,-2.934500058184485,0
100,10,N,f,0,1.0420454852962775,0
500,10,N,f,0,-0.317509209432032,0
1e3,10,N,f,0,2.929174623939595,0
100,25,N,f,0,-1.5321639992093297,0
500,25,N,f,0,-0.8604235078570931,0
1e3,25,N,f,0,-1.8522189947548744,0
100,50,N,f,0,-0.3542079228730805,0
500,50,N,f,0,0.8040235589726757,0
1e3,50,N,f,0,-1.4634963462392128,0
100,10,G,v,0,1.6607463359633476,0
500,10,G,v,0,-2.41616557260893,0
1e3,10,G,v,0,-2.095968825615483,0
100,25,G,v,0,2.882315413688562,0
500,25,G,v,0,-2.031694930609298,0
1e3,25,G,v,0,0.8239494246350297,0
100,50,G,v,0,-0.7621521022178392,0
500,50,G,v,0,0.8188036793018681,0
1e3,50,G,v,0,3.3777465724080926,0
100,10,J,v,0,3.1731768668839404,0
500,10,J,v,0,-0.6618156013655326,0
1e3,10,J,v,0,-4.570471070584934,0
100,25,J,v,0,4.995323179668328,0
500,25,J,v,0,1.334132333530986,0
1e3,25,J,v,0,1.0826546719274006,0
100,50,J,v,0,-0.026799046291817404,0
500,50,J,v,0,1.020216845905853,0
1e3,50,J,v,0,-0.3287516635393345,0
100,10,N,v,0,0.8413892865090256,0
500,10,N,v,0,-0.8004934879552876,0
1e3,10,N,v,0,-2.740415755094921,0
100,25,N,v,0,1.9756765349097574,0
500,25,N,v,0,3.039490050999091,0
1e3,25,N,v,0,-0.6174811384512273,0
100,50,N,v,0,-2.5065795112153824,0
500,50,N,v,0,1.2844826113556476,0
1e3,50,N,v,0,-0.08941827378795825,0
100,10,G,z,0,-3.4664368136496764,0
500,10,G,z,0,0.004263719360539296,0
1e3,10,G,z,0,-1.2606006678562922,0
100,25,G,z,0,-0.6819371597208104,0
500,25,G,z,0,-2.3131447252717066,0
1e3,25,G,z,0,3.6062838158349337,0
100,50,G,z,0,-0.6622640727824421,0
500,50,G,z,0,-3.211026824506155,0
1e3,50,G,z,0,0.3943868774789615,0
100,10,J,z,0,0.5263512928109475,0
500,10,J,z,0,-1.9716534008185815,0
1e3,10,J,z,0,-5.77784134335909,0
100,25,J,z,0,-1.2809634051302299,0
500,25,J,z,0,1.1410152718409692,0
1e3,25,J,z,0,-0.11944655208522009,0
100,50,J,z,0,-0.19635748801046882,0
500,50,J,z,0,1.1216414572402322,0
1e3,50,J,z,0,-2.3729172771589475,0
100,10,N,z,0,2.193554088548486,0
500,10,N,z,0,-0.010688056556331385,0
1e3,10,N,z,0,1.4146213347961578,0
100,25,N,z,0,2.068215469474924,0
500,25,N,z,0,0.44696082983060875,0
1e3,25,N,z,0,-1.7574152257320372,0
100,50,N,z,0,2.3259291119346606,0
500,50,N,z,0,-4.000329889570951,0
1e3,50,N,z,0,-1.0895814800034496,0
100,10,G,o,0,-0.5113414183139776,0
500,10,G,o,0,-0.33224207353001234,0
1e3,10,G,o,0,2.0409278175682153,0
100,25,G,o,0,0.2724437862055553,0
500,25,G,o,0,0.8143352068476729,0
1e3,25,G,o,0,-0.1393096260258097,0
100,50,G,o,0,-0.49532868323866164,0
500,50,G,o,0,1.3911016132392804,0
1e3,50,G,o,0,2.292456714431602,0
100,10,J,o,0,-4.806192429783743,0
500,10,J,o,0,1.145479110491681,0
1e3,10,J,o,0,0.7494488135573093,0
100,25,J,o,0,-0.8505354431121526,0
500,25,J,o,0,1.9020256151536328,0
1e3,25,J,o,0,-0.7784743634367578,0
100,50,J,o,0,-0.568661323599147,0
500,50,J,o,0,1.7148195561596067,0
1e3,50,J,o,0,3.439254598241203,0
100,10,N,o,0,0.5401098018744578,0
500,10,N,o,0,-0.8443680195752802,0
1e3,10,N,o,0,-2.37822658971917,0
100,25,N,o,0,-0.6620659577580196,0
500,25,N,o,0,-1.8796586530200428,0
1e3,25,N,o,0,-0.5178651662375697,0
100,50,N,o,0,0.7887583364431443,0
500,50,N,o,0,-1.7037141840477268,0
1e3,50,N,o,0,5.29833376218976,0
100,10,G,x,0.5,0.7206338276141071,0.05649039539275691
500,10,G,x,0.5,2.098354445927416,0.16972131351940334
1e3,10,G,x,0.5,-2.737310178243353,0.12782610551221296
100,25,G,x,0.5,1.547933886239947,0.22168247593799606
500,25,G,x,0.5,-1.3614517573185494,0.13117750937817618
1e3,25,G,x,0.5,1.8007988355954976,0.039282492420170456
100,50,G,x,0.5,1.063041065429865,0.16170942055759951
500,50,G,x,0.5,-0.07633244385795057,0.20464713196270168
1e3,50,G,x,0.5,2.372784514886316,0.058520733611658216
100,10,J,x,0.5,-0.49169133701451817,0.1315008724341169
500,10,J,x,0.5,-0.32111262356478476,0.18212606682209298
1e3,10,J,x,0.5,-0.9157298553205613,0.17590783507330343
100,25,J,x,0.5,-0.44494724775820804,0.18365998729132116
500,25,J,x,0.5,1.8366933800111946,0.132141170615796
1e3,25,J,x,0.5,1.1133474619171322,0.04191341332625598
100,50,J,x,0.5,1.9215097979832045,0.08362361078616232
500,50,J,x,0.5,-0.0517111056395857,0.016397089697420597
1e3,50,J,x,0.5,1.0322679711020264,0.037799555400852114
100,10,N,x,0.5,0.8453013476646027,0.1077826248947531
500,10,N,x,0.5,-1.5170324770315928,0.22987143881618977
1e3,10,N,x,0.5,3.015078818069303,0.10783048189477995
100,25,N,x,0.5,0.6901377055217439,0.0067944187903776765
500,25,N,x,0.5,1.5827204879483194,0.0561083746724762
1e3,25,N,x,0.5,1.8507672424046508,0.21788600651780143
100,50,N,x,0.5,0.4284892992294328,0.18801759806228802
500,50,N,x,0.5,0.06751168578272848,0.0755551119800657
1e3,50,N,x,0.5,1.7638454703063384,0.16170628904365003
100,10,G,f,0.5,-0.9811032462507234,0.13595794176217169
500,10,G,f,0.5,3.2878920676113235,0.20788067334797233
1e3,10,G,f,0.5,-0.042537727674758496,0.12198467610869557
100,25,G,f,0.5,2.839314720613033,0.09123889572219923
500,25,G,f,0.5,2.638591700977735,0.18226049246732146
1e3,25,G,f,0.5,0.6173312656494325,0.2302251779474318
100,50,G,f,0.5,1.3021715106446652,0.16374453902244568
500,50,G,f,0.5,-0.9489303550663675,0.022626313555520028
1e3,50,G,f,0.5,0.9568001773090358,0.07410441350657493
100,10,J,f,0.5,1.9758908924688405,0.047654904425144196
500,10,J,f,0.5,0.6401181399094227,0.20276339194970205
1e3,10,J,f,0.5,-0.14224657610029479,0.011587751854676753
100,25,J,f,0.5,-0.4274155896935643,0.14795859757578
500,25,J,f,0.5,0.4491980227339464,0.05501084303250536
1e3,25,J,f,0.5,2.012022638055754,0.2005176660604775
100,50,J,f,0.5,-0.18444391028063922,0.13989734853385016
500,50,J,f,0.5,0.32886585937645096,0.09598984109470621
1e3,50,J,f,0.5,-1.3301903450130024,0.21774484269553795
100,10,N,f,0.5,1.1990639167473174,0.025136870506685227
500,10,N,f,0.5,2.349652067993812,0.08890808298019692
1e3,10,N,f,0.5,2.6171356989261243,0.06987747986568138
100,25,N,f,0.5,1.6521636513374394,0.18141076562460512
500,25,N,f,0.5,-2.1442806658777167,0.24420133256353438
1e3,25,N,f,0.5,1.181692662195799,0.24282880633836612
100,50,N,f,0.5,1.1450731564697938,0.18814238085178658
500,50,N,f,0.5,2.1652283281109463e-4,0.1326916953548789
1e3,50,N,f,0.5,0.7411085220564498,0.015769041201565415
100,10,G,v,0.5,-0.7219313647042445,0.025878833490423858
500,10,G,v,0.5,1.4605773725941154,0.005993649538140744
1e3,10,G,v,0.5,0.03740930881157917,0.07369903399376199
100,25,G,v,0.5,-1.7190173067085888,0.009874147770460695
500,25,G,v,0.5,-0.01965384288054417,0.1711574374930933
1e3,25,G,v,0.5,2.4296023816661507,0.03936226561199874
100,50,G,v,0.5,0.02725476034860075,0.24366207816638052
500,50,G,v,0.5,1.53626504752157,0.06909642019309103
1e3,50,G,v,0.5,1.838674250315328,0.052376759238541126
100,10,J,v,0.5,0.5062207073152274,0.23317244392819703
500,10,J,v,0.5,0.001741017164846148,0.175879942253232
1e3,10,J,v,0.5,-0.24910257294472293,0.22976357338484377
100,25,J,v,0.5,1.5459371133928914,0.2225372827379033
500,25,J,v,0.5,-1.0039558999820326,0.07460464636096731
1e3,25,J,v,0.5,0.8481947141324966,0.04569767625071108
100,50,J,v,0.5,0.09058606950633008,0.1844061736483127
500,50,J,v,0.5,-2.703037245219722,0.1320506086340174
1e3,50,J,v,0.5,-1.4924154223342312,0.24187023640843108
100,10,N,v,0.5,1.795446958174357,0.1334691058145836
500,10,N,v,0.5,0.2294907139566284,0.08778752334183082
1e3,10,N,v,0.5,1.6360140186828827,0.03980237361975014
100,25,N,v,0.5,3.1692919846439076,0.17174568778136745
500,25,N,v,0.5,2.5843827556510193,0.07531332230428234
1e3,25,N,v,0.5,1.4578022871970207,0.0658668345422484
100,50,N,v,0.5,1.0373483845384075,0.22515252028824762
500,50,N,v,0.5,0.2273418504998465,0.1461941144661978
1e3,50,N,v,0.5,2.731475976311028,0.09705047582974657
100,10,G,z,0.5,1.3432023637476003,0.15273805253673345
500,10,G,z,0.5,-1.1596884262686045,0.2094312243280001
1e3,10,G,z,0.5,0.27988821627598437,0.036938194767571986
100,25,G,z,0.5,-2.2137482927965273,0.10422791226301342
500,25,G,z,0.5,0.22386229165701665,0.06011291785398498
1e3,25,G,z,0.5,-3.166104948952659,0.1765125616802834
100,50,G,z,0.5,2.3582796858391264,0.0010563752730377018
500,50,G,z,0.5,-0.39879353153094366,0.14167746214661747
1e3,50,G,z,0.5,-0.10808190521475403,0.22119380941148847
100,10,J,z,0.5,0.26054771810016947,0.20886642474215478
500,10,J,z,0.5,1.3658072447867164,0.06736060458933935
1e3,10,J,z,0.5,1.459317878530911,0.04138950421474874
100,25,J,z,0.5,1.3032053822459893,0.20233977370662615
500,25,J,z,0.5,-0.30969751550873426,0.22895096353022382
1e3,25,J,z,0.5,-1.4279849840934835,0.02664803108200431
100,50,J,z,0.5,-0.04973626993876723,0.08101670088944957
500,50,J,z,0.5,0.8930299352867105,0.11783541500335559
1e3,50,J,z,0.5,-0.6640124850604154,0.07870667323004454
100,10,N,z,0.5,0.4026442168141178,0.1689125164411962
500,10,N,z,0.5,-1.1513238978848777,0.0017672993708401918
1e3,10,N,z,0.5,0.488249279406338,0.025069883791729808
100,25,N,z,0.5,0.6822290565240821,0.07755107461707667
500,25,N,z,0.5,0.29370070781075147,0.14639161428203806
1e3,25,N,z,0.5,0.26819490196230267,0.05785094463499263
100,50,N,z,0.5,2.994039160288671,0.09728109568823129
500,50,N,z,0.5,1.5784601883447844,0.006065685593057424
1e3,50,N,z,0.5,2.071800908012249,0.1266760614234954
100,10,G,o,0.5,-0.8056117935690854,0.05396393744740635
500,10,G,o,0.5,0.7324144567701432,0.20663948642322794
1e3,10,G,o,0.5,2.1331694417630107,0.19357447733636945
100,25,G,o,0.5,0.42006663486999085,0.1304429774172604
500,25,G,o,0.5,-2.5113707079170093,0.23305882792919874
1e3,25,G,o,0.5,0.9876855536879363,0.14676476537715644
100,50,G,o,0.5,-2.1940138268635385,0.1396098752738908
500,50,G,o,0.5,-0.6471678319631555,0.23756450659129769
1e3,50,G,o,0.5,2.372424867822482,0.1657158801681362
100,10,J,o,0.5,1.3706419817804836,0.18946964421775192
500,10,J,o,0.5,2.0438530425397787,0.2479624324478209
1e3,10,J,o,0.5,0.9336047534421034,0.20445077662589028
100,25,J,o,0.5,0.34421198408250764,0.16478768351953477
500,25,J,o,0.5,-0.8071756596312907,0.1753115570754744
1e3,25,J,o,0.5,2.7527202342003223,0.2245613574050367
100,50,J,o,0.5,0.563654598314488,0.08334217680385336
500,50,J,o,0.5,-0.5113442830627002,0.12998976273229346
1e3,50,J,o,0.5,1.7236102420984651,0.04774459480540827
100,10,N,o,0.5,2.0194889751657517,0.07307666761334985
500,10,N,o,0.5,3.180860691248939,0.0894664223305881
1e3,10,N,o,0.5,-0.3527669648327314,0.22452528786379844
100,25,N,o,0.5,-0.052770573161875944,0.04070312506519258
500,25,N,o,0.5,-0.08862684194847992,0.05020600673742592
1e3,25,N,o,0.5,-0.03125982215872147,0.006124873412773013
100,50,N,o,0.5,-0.018494455797948617,0.24414481612620875
500,50,N,o,0.5,0.08184893630247714,0.16200106334872544
1e3,50,N,o,0.5,2.5390419786109955,0.025724356062710285
100,10,G,x,1,-0.3950765838260819,0.31940585817210376
500,10,G,x,1,0.22366498815727953,0.6241615163162351
1e3,10,G,x,1,2.3050729043430342,0.7342879259958863
100,25,G,x,1,3.2495448930702575,0.011306253494694829
500,25,G,x,1,-0.5442216060478553,0.2608790739905089
1e3,25,G,x,1,-0.01617243227657328,0.9387212092988193
100,50,G,x,1,2.0472411809960342,0.13360270718112588
500,50,G,x,1,3.035508453075939,0.6175932541955262
1e3,50,G,x,1,0.4976708238240435,0.7830612184479833
100,10,J,x,1,-1.8599868947772205,0.2852358005475253
500,10,J,x,1,4.418242064201762,0.9532733531668782
1e3,10,J,x,1,3.8701391446232494,0.26630090293474495
100,25,J,x,1,-0.42074229169976074,0.20883206720463932
500,25,J,x,1,0.8698648526888325,0.07784552942030132
1e3,25,J,x,1,-2.518937470731863,0.5289569292217493
100,50,J,x,1,2.1394459436382025,0.3687392952851951
500,50,J,x,1,4.224693596403568,0.6456874974537641
1e3,50,J,x,1,-2.2745612942094326,0.22105294140055776
100,10,N,x,1,-0.559137026403494,0.2524472156073898
500,10,N,x,1,-0.2823538675011279,0.5200162488035858
1e3,10,N,x,1,-0.36226278714231164,0.4261364182457328
100,25,N,x,1,-3.066571191235899,0.1473283115774393
500,25,N,x,1,2.0019271184958134,0.7390381461009383
1e3,25,N,x,1,-2.063596279931485,0.7372160064987838
100,50,N,x,1,0.950004721443473,0.1227504350244999
500,50,N,x,1,2.185969442050585,0.5973012153990567
1e3,50,N,x,1,0.6036091570307192,0.6210332047194242
100,10,G,f,1,2.784016784947052,0.4779913753736764
500,10,G,f,1,0.9485698581636927,0.4162962718401104
1e3,10,G,f,1,-0.29532090117133003,0.17801102250814438
100,25,G,f,1,2.29271883006928,0.10332464030943811
500,25,G,f,1,0.13233451994082335,0.5714740962721407
1e3,25,G,f,1,4.545222369957005,0.9713137540966272
100,50,G,f,1,0.9634805776739798,0.1388970233965665
500,50,G,f,1,2.705629987201062,0.21408571489155293
1e3,50,G,f,1,1.4103258064880526,0.9887094397563487
100,10,J,f,1,-5.016097197840962,0.641031701117754
500,10,J,f,1,-1.7322238626579671,0.26094825635664165
1e3,10,J,f,1,0.15179547971037666,0.9449024391360581
100,25,J,f,1,1.4736073274911157,0.5981989873107523
500,25,J,f,1,-3.685446240717919,0.23398417537100613
1e3,25,J,f,1,2.9233932667614235,0.15628813952207565
100,50,J,f,1,-0.2088514677088804,0.4628304517827928
500,50,J,f,1,-0.5057545587258268,0.5994866767432541
1e3,50,J,f,1,-2.1112231850884915,0.22374743688851595
100,10,N,f,1,-1.9077874760021154,0.48446363024413586
500,10,N,f,1,1.1126636721088206,0.12387581449002028
1e3,10,N,f,1,2.0187388133477846,0.043919626623392105
100,25,N,f,1,-3.195765919568599,0.4958286816254258
500,25,N,f,1,-1.0087239588986692,0.972275358857587
1e3,25,N,f,1,2.071543444505183,0.16814616275951266
100,50,N,f,1,0.09392583070016403,0.6355324105825275
500,50,N,f,1,5.3307370036345265,0.6778372859116644
1e3,50,N,f,1,3.491493345496211,0.17735724477097392
100,10,G,v,1,2.1909960681391913,0.5489584198221564
500,10,G,v,1,1.0097688990763778,0.8409848047886044
1e3,10,G,v,1,1.558721564110519,0.5170020223595202
100,25,G,v,1,-0.4118122505352526,0.7580462258774787
500,25,G,v,1,2.256034305914502,0.7375616224016994
1e3,25,G,v,1,3.960427920171407,0.9091124469414353
100,50,G,v,1,3.1668598201665668,0.5047806748189032
500,50,G,v,1,-0.6264885133281819,0.5755011634901166
1e3,50,G,v,1,-2.237753698447176,0.8580558029934764
100,10,J,v,1,0.7806886010235177,0.499006086261943
500,10,J,v,1,1.881778741833955,0.7054909053258598
1e3,10,J,v,1,3.7019879596171945,0.9715299736708403
100,25,J,v,1,-1.6372189690671268,0.6229367442429066
500,25,J,v,1,1.7287691852148956,0.5045763254165649
1e3,25,J,v,1,1.4669996701770363,0.46187406382523477
100,50,J,v,1,3.387910522518103,0.5129501153714955
500,50,J,v,1,0.9441800557408453,0.44318268122151494
1e3,50,J,v,1,0.28540229099149406,0.34857549890875816
100,10,N,v,1,-1.2936282722367336,0.10843399469740689
500,10,N,v,1,-0.03484096718724605,0.44421477778814733
1e3,10,N,v,1,0.27575245484345523,0.37902039173059165
100,25,N,v,1,5.701108651578211,0.842219493817538
500,25,N,v,1,5.893062751399916,0.6166235925629735
1e3,25,N,v,1,0.6665934410314475,0.3689278701785952
100,50,N,v,1,-1.0873348781237753,0.2889236363116652
500,50,N,v,1,-2.945869868149346,0.9031526718754321
1e3,50,N,v,1,2.029343266876058,0.5042519310954958
100,10,G,z,1,-1.1811471674697147,0.2974602375179529
500,10,G,z,1,5.569318651088727,0.3213345934636891
1e3,10,G,z,1,-0.7712351453159185,0.9629031685180962
100,25,G,z,1,1.2222128594914436,0.15853003319352865
500,25,G,z,1,8.62055336142133,0.498344806721434
1e3,25,G,z,1,-1.2178199958865066,0.6189309193287045
100,50,G,z,1,1.6151332488429075,0.5474203370977193
